rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,complain,satisfaction_score,card_type,point_earned,payment_proxy,churn,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,revenue_at_risk,high_risk_customer_flag,active_status,credit_card_status,product_segment
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464,DIAMOND,1,41-50,0-2 years,Low,High,858.74,71.56,Low,1717.48,Bronze,858.74,1,Active,Has Credit Card,1 product(s)
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456,DIAMOND,0,41-50,0-2 years,Medium,High,2586.87,215.57,Medium,2586.87,Bronze,0.0,1,Active,No Credit Card,1 product(s)
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377,DIAMOND,1,41-50,6-8 years,Very High,High,4311.37,359.28,Very High,34490.96,Platinum,4311.37,1,Inactive,Has Credit Card,3+ products
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350,GOLD,0,31-40,0-2 years,Low,Medium,884.13,73.68,Low,884.13,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425,GOLD,0,41-50,0-2 years,High,Medium,3238.14,269.84,High,6476.28,Silver,0.0,0,Active,Has Credit Card,1 product(s)
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,DIAMOND,1,41-50,6-8 years,High,Very High,3505.9,292.16,High,28047.2,Platinum,3505.9,1,Inactive,Has Credit Card,2 product(s)
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206,SILVER,0,41-50,6-8 years,Low,Low,393.31,32.78,Low,2753.17,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282,DIAMOND,1,18-30,3-5 years,High,High,3518.67,293.22,High,14074.68,Gold,3518.67,1,Inactive,Has Credit Card,3+ products
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251,GOLD,0,41-50,3-5 years,Very High,Medium,3581.22,298.44,Very High,14324.88,Gold,0.0,0,Active,No Credit Card,2 product(s)
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342,GOLD,0,18-30,0-2 years,Very High,Medium,3341.71,278.48,High,6683.42,Silver,0.0,0,Active,Has Credit Card,1 product(s)
